paper_id,text_source,n_sentences_total,n_tagged_sentences,n_manipulation,n_success,n_failure,n_wild_type,n_not_wild_type,regex_accessions,regex_strains,has_signal
P62aaa0c6bdbb,fulltext,178,94,12,0,0,8,8,0,2,True
P632d92ed357a,fulltext,88,36,5,3,0,10,12,0,0,True
P65aaf97f4ef1,fulltext,196,91,12,10,0,7,11,0,0,True
P66db4a29f378,abstract,6,2,0,0,0,1,0,0,0,False
P66e424c05779,abstract,4,4,4,0,0,0,0,0,0,True
P66e43de9f3c2,fulltext,249,68,11,0,0,12,12,0,0,True
P66ec274957d1,abstract,13,6,1,1,0,1,2,0,0,True
P672c81151e2b,abstract,6,0,0,0,0,0,0,0,0,False
P678f25c864d9,abstract,8,6,5,0,0,0,1,0,0,False
P679ae3c6c4c5,abstract,6,2,0,0,0,1,0,0,0,False
P67a299fbe845,abstract,14,8,0,0,0,1,2,0,0,False
P68bbc5f7a9fd,abstract,10,7,7,0,0,1,0,0,0,True
P69438d5f89ed,abstract,14,5,4,0,0,1,0,0,0,True
P699f9415ee9b,fulltext,227,36,12,0,0,9,4,0,0,True
P69a332dd0fd2,fulltext,213,46,12,4,0,4,8,2,0,True
P6abbe27807b6,fulltext,267,81,12,0,0,12,0,0,1,True
P6acd0d3766c4,abstract,8,5,3,0,0,1,0,0,0,True
P6b4ecda100e2,abstract,10,6,5,1,0,0,0,0,0,True
P6b9ebc5ef780,abstract,6,6,6,0,0,0,1,0,0,True
P6c506a8ac538,abstract,6,6,6,0,0,0,0,0,0,True
P6c521a6074e7,fulltext,202,25,3,1,0,2,4,0,0,True
P6c8dcd04dbad,abstract,6,4,0,0,0,4,2,0,0,False
P6c910c73c4d4,abstract,9,4,0,0,0,0,0,0,0,False
P6d4f4506193e,fulltext,173,79,5,2,0,12,8,0,1,True
